t (s);roll (deg);TL (%);TR (%)
163840128;-10.75;36.68;43.31
163850132;-10.350006;36.93;43.06
163860140;-9.919998;37.19;42.8
163870124;-9.470001;37.45;42.54
163880120;-8.9900055;37.76;42.23
163890124;-8.4900055;38.06;41.93
163900092;-7.970001;38.33;41.66
163910084;-7.419998;38.64;41.35
163920060;-6.8600006;38.97;41.02
163930064;-6.2700043;39.28;40.71
163940060;-5.6600037;39.61;40.38
163950076;-5.0399933;39.92;40.07
163960064;-4.399994;40.24;39.75
163970056;-3.75;40.57;39.42
163980028;-3.100006;40.86;39.13
163990028;-2.4299927;41.18;38.81
164000028;-1.7700043;41.47;38.52
164010020;-1.0899963;41.79;38.2
164020024;-0.41000366;42.1;37.89
164030016;0.27999878;42.39;37.6
164040012;0.94999695;42.65;37.34
164049988;1.6399994;43.01;36.98
164059980;2.3200073;43.27;36.72
164069980;3.0;43.54;36.45
164079976;3.6699982;43.79;36.2
164089944;4.330002;44.04;35.95
164099920;4.9900055;44.34;35.65
164109924;5.630005;44.53;35.46
164119924;6.2599945;44.78;35.21
164129904;6.880005;44.98;35.01
164139908;7.4799957;45.21;34.78
164149908;8.070007;45.39;34.6
164159924;8.630005;45.57;34.42
164169888;9.179993;45.75;34.24
164179908;9.710007;45.9;34.09
164189892;10.210007;46.03;33.96
164199876;10.699997;46.17;33.82
164209852;11.149994;46.28;33.71
164219852;11.589996;46.38;33.61
164229848;11.9900055;46.48;33.51
164239848;12.369995;46.52;33.47
164249828;12.720001;46.61;33.38
164259816;13.050003;46.67;33.32
164269828;13.339996;46.66;33.33
164279812;13.610001;46.71;33.28
164289804;13.850006;46.7;33.29
164299812;14.059998;46.68;33.31
164309800;14.220001;46.62;33.37
164319800;14.360001;46.6;33.39
164329796;14.479996;46.56;33.43
164339780;14.550003;46.43;33.56
164349792;14.589996;46.35;33.64
164359756;14.580002;46.22;33.77
164369740;14.550003;46.1;33.89
164379732;14.5;46.0;33.99
164389720;14.399994;45.82;34.17
164399696;14.279999;45.68;34.31
164409688;14.119995;45.5;34.49
164419684;13.929993;45.31;34.68
164429680;13.710007;45.12;34.87
164439668;13.470001;44.92;35.07
164449648;13.199997;44.73;35.26
164459644;12.889999;44.47;35.52
164469640;12.559998;44.25;35.74
164479648;12.210007;44.05;35.94
164489636;11.839996;43.8;36.19
164500020;11.440002;43.6;36.39
164509636;11.020004;43.24;36.75
164519620;10.580002;43.03;36.96
164529616;10.110001;42.77;37.22
164539604;9.630005;42.5;37.49
164549588;9.139999;42.25;37.74
164559588;8.630005;41.98;38.01
164569588;8.110001;41.71;38.28
164579560;7.5700073;41.45;38.54
164589552;7.029999;41.18;38.81
164599548;6.470001;40.9;39.09
164609536;5.8899994;40.57;39.42
164619532;5.3099976;40.32;39.67
164629520;4.7299957;40.06;39.93
164639504;4.130005;39.77;40.22
164649508;3.5299988;39.51;40.48
164659512;2.9400024;39.27;40.72
164669504;2.3399963;39.0;40.99
164679480;1.75;38.76;41.23
164689492;1.1499939;38.5;41.49
164699484;0.5700073;38.29;41.7
164709476;-0.02999878;37.99;42.0
164719480;-0.6100006;37.79;42.2
164729468;-1.1900024;37.57;42.42
164739440;-1.75;37.36;42.63
164749432;-2.300003;37.17;42.82
164759412;-2.8600006;36.93;43.06
164769416;-3.3899994;36.79;43.2
164779408;-3.9199982;36.56;43.43
164789396;-4.419998;36.42;43.57
164799376;-4.9100037;36.27;43.72
164809380;-5.380005;36.13;43.86
164819392;-5.830002;36.02;43.97
164829372;-6.2700043;35.88;44.11
164839376;-6.699997;35.69;44.3
164849360;-7.1100006;35.58;44.41
164859364;-7.5;35.52;44.47
164869344;-7.8600006;35.43;44.56
164879328;-8.199997;35.37;44.62
164889716;-8.5099945;35.38;44.61
164899324;-8.800003;35.24;44.75
164909716;-9.059998;35.29;44.7
164919292;-9.289993;35.22;44.77
164929304;-9.5099945;35.23;44.76
164939308;-9.679993;35.28;44.71
164949288;-9.830002;35.33;44.66
164959276;-9.949997;35.34;44.65
164969292;-10.050003;35.39;44.6
164979260;-10.119995;35.43;44.56
164989260;-10.160004;35.52;44.47
164999240;-10.179993;35.59;44.4
165009244;-10.169998;35.71;44.28
165019244;-10.130005;35.79;44.2
165029212;-10.059998;35.93;44.06
165039216;-9.970001;36.05;43.94
165049196;-9.850006;36.19;43.8
165059200;-9.710007;36.33;43.66
165069188;-9.539993;36.49;43.5
165079172;-9.350006;36.63;43.36
165089164;-9.139999;36.82;43.17
165099168;-8.899994;37.0;42.99
165109156;-8.630005;37.2;42.79
165119144;-8.350006;37.36;42.63
165129144;-8.039993;37.6;42.39
165139132;-7.720001;37.79;42.2
165149124;-7.380005;37.99;42.0
165159116;-7.0200043;38.19;41.8
165169104;-6.6399994;38.44;41.55
165179116;-6.2299957;38.68;41.31
165189100;-5.830002;38.87;41.12
165199096;-5.399994;39.12;40.87
165209080;-4.9400024;39.42;40.57
165219068;-4.4900055;39.6;40.39
165229064;-4.0200043;39.83;40.16
165239036;-3.550003;40.08;39.91
165249044;-3.0599976;40.3;39.69
165259056;-2.5800018;40.52;39.47
165269040;-2.0800018;40.79;39.2
165279036;-1.5800018;41.0;38.99
165289044;-1.0700073;41.22;38.77
165299044;-0.55999756;41.44;38.55
165309032;-0.05000305;41.69;38.3
165319020;0.4600067;41.9;38.09
165329012;0.9700012;42.09;37.9
