t (µs);roll (deg);T_sample (µs)
53404616;-4,619995;9984,000
53414604;-5,0399933;9988,000
53424600;-5,5399933;9996,000
53434588;-6,080002;9988,000
53444588;-6,6600037;10000,000
53454596;-7,2599945;10008,000
53464576;-7,830002;9980,000
53474564;-8,339996;9988,000
53484556;-8,789993;9992,000
53494556;-9,179993;10000,000
53504548;-9,470001;9992,000
53514532;-9,649994;9984,000
53524524;-9,7400055;9992,000
53534520;-9,729996;9996,000
53544516;-9,669998;9996,000
53554488;-9,539993;9972,000
53564476;-9,320007;9988,000
53574480;-8,9900055;10004,000
53584488;-8,529999;10008,000
53594464;-7,8600006;9976,000
53604452;-6,970001;9988,000
53614444;-5,8200073;9992,000
53624440;-4,4100037;9996,000
53634440;-2,7799988;10000,000
53644448;-0,9900055;10008,000
53654432;0,91000366;9984,000
53664404;2,9600067;9972,000
53674408;5,149994;10004,000
53684396;7,419998;9988,000
53694384;9,589996;9988,000
53704380;11,550003;9996,000
53714380;13,149994;10000,000
53724352;14,330002;9972,000
53734356;15,149994;10004,000
53744320;15,710007;9964,000
53754328;16,14;10008,000
53764316;16,529999;9988,000
53774320;16,940002;10004,000
53784316;17,449997;9996,000
53794288;18,029999;9972,000
53804272;18,679993;9984,000
53814264;19,320007;9992,000
53824268;19,880005;10004,000
53834264;20,289993;9996,000
53844260;20,550003;9996,000
53854232;20,660004;9972,000
53864236;20,649994;10004,000
53874216;20,559998;9980,000
53884196;20,419998;9980,000
53894196;20,25;10000,000
53904192;20,009995;9996,000
53914188;19,61;9996,000
53924164;19,020004;9976,000
53934164;18,169998;10000,000
53944168;16,929993;10004,000
53954172;15,220001;10004,000
53964132;13,059998;9960,000
53974152;10,539993;10020,000
53984132;7,7899933;9980,000
53994100;4,949997;9968,000
54004100;2,1600037;10000,000
54014096;-0,5;9996,000
54024064;-2,949997;9968,000
54034076;-5,1799927;10012,000
54044080;-7,220001;10004,000
54054092;-9,059998;10012,000
54064072;-10,660004;9980,000
54074052;-12,039993;9980,000
54084060;-13,220001;10008,000
54094044;-14,2599945;9984,000
54104044;-15,179993;10000,000
54114036;-15,970001;9992,000
54124008;-16,630005;9972,000
54133996;-17,190002;9988,000
54143996;-17,64;10000,000
54153988;-18;9992,000
54164000;-18,259995;10012,000
54173972;-18,460007;9972,000
54183960;-18,589996;9988,000
54193936;-18,649994;9976,000
54203940;-18,630005;10004,000
54213956;-18,539993;10016,000
